hotel_id,title,description,total_inventory,total_reserved
118,room_type_1,single bedroom,10,10
118,room_type_2,double bedroom,10,10
118,room_type_5,suite,10,10
119,room_type_1,single bedroom,10,10
119,room_type_2,double bedroom,10,10
119,room_type_4,king size,10,10
120,room_type_1,single bedroom,10,10
120,room_type_2,double bedroom,10,10
120,room_type_4,king size,10,10
121,room_type_1,single bedroom,10,10
121,room_type_2,double bedroom,10,10
121,room_type_4,king size,10,10
122,room_type_1,single bedroom,10,10
122,room_type_2,double bedroom,10,10
122,room_type_3,queen size,10,10
123,room_type_1,single bedroom,10,10
123,room_type_2,double bedroom,10,10
123,room_type_4,king size,10,10
124,room_type_1,single bedroom,10,10
124,room_type_2,double bedroom,10,10
124,room_type_6,apartment,10,10
125,room_type_1,single bedroom,10,10
125,room_type_2,double bedroom,10,10
125,room_type_6,apartment,10,10
126,room_type_1,single bedroom,10,10
126,room_type_2,double bedroom,10,10
126,room_type_6,apartment,10,10
127,room_type_1,single bedroom,10,10
127,room_type_2,double bedroom,10,10
127,room_type_6,apartment,10,10
128,room_type_1,single bedroom,10,10
128,room_type_2,double bedroom,10,10
128,room_type_6,apartment,10,10
129,room_type_1,single bedroom,10,10
129,room_type_2,double bedroom,10,10
129,room_type_6,apartment,10,10
130,room_type_1,single bedroom,10,10
130,room_type_2,double bedroom,10,10
130,room_type_3,queen size,10,10
131,room_type_1,single bedroom,10,10
131,room_type_2,double bedroom,10,10
131,room_type_6,apartment,10,10
132,room_type_1,single bedroom,10,10
132,room_type_2,double bedroom,10,10
132,room_type_5,suite,10,10
133,room_type_1,single bedroom,10,10
133,room_type_2,double bedroom,10,10
133,room_type_6,apartment,10,10
134,room_type_1,single bedroom,10,10
134,room_type_2,double bedroom,10,10
134,room_type_4,king size,10,10
135,room_type_1,single bedroom,10,10
135,room_type_2,double bedroom,10,10
135,room_type_6,apartment,10,10
136,room_type_1,single bedroom,10,10
136,room_type_2,double bedroom,10,10
136,room_type_5,suite,10,10
137,room_type_1,single bedroom,10,10
137,room_type_2,double bedroom,10,10
137,room_type_3,queen size,10,10
138,room_type_1,single bedroom,10,10
138,room_type_2,double bedroom,10,10
138,room_type_4,king size,10,10
139,room_type_1,single bedroom,10,10
139,room_type_2,double bedroom,10,10
139,room_type_4,king size,10,10
140,room_type_1,single bedroom,10,10
140,room_type_2,double bedroom,10,10
140,room_type_6,apartment,10,10
141,room_type_1,single bedroom,10,10
141,room_type_2,double bedroom,10,10
141,room_type_5,suite,10,10
142,room_type_1,single bedroom,10,10
142,room_type_2,double bedroom,10,10
142,room_type_6,apartment,10,10
143,room_type_1,single bedroom,10,10
143,room_type_2,double bedroom,10,10
143,room_type_6,apartment,10,10
144,room_type_1,single bedroom,10,10
144,room_type_2,double bedroom,10,10
144,room_type_6,apartment,10,10
145,room_type_1,single bedroom,10,10
145,room_type_2,double bedroom,10,10
145,room_type_5,suite,10,10
146,room_type_1,single bedroom,10,10
146,room_type_2,double bedroom,10,10
146,room_type_4,king size,10,10
147,room_type_1,single bedroom,10,10
147,room_type_2,double bedroom,10,10
147,room_type_6,apartment,10,10
148,room_type_1,single bedroom,10,10
148,room_type_2,double bedroom,10,10
148,room_type_3,queen size,10,10
149,room_type_1,single bedroom,10,10
149,room_type_2,double bedroom,10,10
149,room_type_6,apartment,10,10
150,room_type_1,single bedroom,10,10
150,room_type_2,double bedroom,10,10
150,room_type_6,apartment,10,10
151,room_type_1,single bedroom,10,10
151,room_type_2,double bedroom,10,10
151,room_type_4,king size,10,10
152,room_type_1,single bedroom,10,10
152,room_type_2,double bedroom,10,10
152,room_type_3,queen size,10,10
153,room_type_1,single bedroom,10,10
153,room_type_2,double bedroom,10,10
153,room_type_6,apartment,10,10
154,room_type_1,single bedroom,10,10
154,room_type_2,double bedroom,10,10
154,room_type_6,apartment,10,10
155,room_type_1,single bedroom,10,10
155,room_type_2,double bedroom,10,10
155,room_type_3,queen size,10,10
156,room_type_1,single bedroom,10,10
156,room_type_2,double bedroom,10,10
156,room_type_6,apartment,10,10
157,room_type_1,single bedroom,10,10
157,room_type_2,double bedroom,10,10
157,room_type_6,apartment,10,10
158,room_type_1,single bedroom,10,10
158,room_type_2,double bedroom,10,10
158,room_type_5,suite,10,10
159,room_type_1,single bedroom,10,10
159,room_type_2,double bedroom,10,10
159,room_type_6,apartment,10,10
160,room_type_1,single bedroom,10,10
160,room_type_2,double bedroom,10,10
160,room_type_5,suite,10,10
161,room_type_1,single bedroom,10,10
161,room_type_2,double bedroom,10,10
161,room_type_6,apartment,10,10
162,room_type_1,single bedroom,10,10
162,room_type_2,double bedroom,10,10
162,room_type_3,queen size,10,10
163,room_type_1,single bedroom,10,10
163,room_type_2,double bedroom,10,10
163,room_type_6,apartment,10,10
164,room_type_1,single bedroom,10,10
164,room_type_2,double bedroom,10,10
164,room_type_6,apartment,10,10
165,room_type_1,single bedroom,10,10
165,room_type_2,double bedroom,10,10
165,room_type_4,king size,10,10
166,room_type_1,single bedroom,10,10
166,room_type_2,double bedroom,10,10
166,room_type_5,suite,10,10
167,room_type_1,single bedroom,10,10
167,room_type_2,double bedroom,10,10
167,room_type_4,king size,10,10
168,room_type_1,single bedroom,10,10
168,room_type_2,double bedroom,10,10
168,room_type_6,apartment,10,10
169,room_type_1,single bedroom,10,10
169,room_type_2,double bedroom,10,10
169,room_type_5,suite,10,10
170,room_type_1,single bedroom,10,10
170,room_type_2,double bedroom,10,10
170,room_type_5,suite,10,10
171,room_type_1,single bedroom,10,10
171,room_type_2,double bedroom,10,10
171,room_type_5,suite,10,10
172,room_type_1,single bedroom,10,10
172,room_type_2,double bedroom,10,10
172,room_type_5,suite,10,10
173,room_type_1,single bedroom,10,10
173,room_type_2,double bedroom,10,10
173,room_type_5,suite,10,10
174,room_type_1,single bedroom,10,10
174,room_type_2,double bedroom,10,10
174,room_type_3,queen size,10,10
175,room_type_1,single bedroom,10,10
175,room_type_2,double bedroom,10,10
175,room_type_6,apartment,10,10
176,room_type_1,single bedroom,10,10
176,room_type_2,double bedroom,10,10
176,room_type_6,apartment,10,10
177,room_type_1,single bedroom,10,10
177,room_type_2,double bedroom,10,10
177,room_type_4,king size,10,10
178,room_type_1,single bedroom,10,10
178,room_type_2,double bedroom,10,10
178,room_type_4,king size,10,10
179,room_type_1,single bedroom,10,10
179,room_type_2,double bedroom,10,10
179,room_type_3,queen size,10,10
180,room_type_1,single bedroom,10,10
180,room_type_2,double bedroom,10,10
180,room_type_4,king size,10,10
181,room_type_1,single bedroom,10,10
181,room_type_2,double bedroom,10,10
181,room_type_6,apartment,10,10
182,room_type_1,single bedroom,10,10
182,room_type_2,double bedroom,10,10
182,room_type_4,king size,10,10
183,room_type_1,single bedroom,10,10
183,room_type_2,double bedroom,10,10
183,room_type_4,king size,10,10
184,room_type_1,single bedroom,10,10
184,room_type_2,double bedroom,10,10
184,room_type_4,king size,10,10
185,room_type_1,single bedroom,10,10
185,room_type_2,double bedroom,10,10
185,room_type_3,queen size,10,10
186,room_type_1,single bedroom,10,10
186,room_type_2,double bedroom,10,10
186,room_type_4,king size,10,10
187,room_type_1,single bedroom,10,10
187,room_type_2,double bedroom,10,10
187,room_type_6,apartment,10,10
188,room_type_1,single bedroom,10,10
188,room_type_2,double bedroom,10,10
188,room_type_3,queen size,10,10
189,room_type_1,single bedroom,10,10
189,room_type_2,double bedroom,10,10
189,room_type_3,queen size,10,10
190,room_type_1,single bedroom,10,10
190,room_type_2,double bedroom,10,10
190,room_type_4,king size,10,10
191,room_type_1,single bedroom,10,10
191,room_type_2,double bedroom,10,10
191,room_type_3,queen size,10,10
192,room_type_1,single bedroom,10,10
192,room_type_2,double bedroom,10,10
192,room_type_3,queen size,10,10
193,room_type_1,single bedroom,10,10
193,room_type_2,double bedroom,10,10
193,room_type_5,suite,10,10
194,room_type_1,single bedroom,10,10
194,room_type_2,double bedroom,10,10
194,room_type_4,king size,10,10
195,room_type_1,single bedroom,10,10
195,room_type_2,double bedroom,10,10
195,room_type_6,apartment,10,10
196,room_type_1,single bedroom,10,10
196,room_type_2,double bedroom,10,10
196,room_type_6,apartment,10,10
197,room_type_1,single bedroom,10,10
197,room_type_2,double bedroom,10,10
197,room_type_4,king size,10,10
198,room_type_1,single bedroom,10,10
198,room_type_2,double bedroom,10,10
198,room_type_5,suite,10,10
199,room_type_1,single bedroom,10,10
199,room_type_2,double bedroom,10,10
199,room_type_3,queen size,10,10
200,room_type_1,single bedroom,10,10
200,room_type_2,double bedroom,10,10
200,room_type_5,suite,10,10
201,room_type_1,single bedroom,10,10
201,room_type_2,double bedroom,10,10
201,room_type_6,apartment,10,10
202,room_type_1,single bedroom,10,10
202,room_type_2,double bedroom,10,10
202,room_type_3,queen size,10,10
203,room_type_1,single bedroom,10,10
203,room_type_2,double bedroom,10,10
203,room_type_5,suite,10,10
204,room_type_1,single bedroom,10,10
204,room_type_2,double bedroom,10,10
204,room_type_4,king size,10,10
205,room_type_1,single bedroom,10,10
205,room_type_2,double bedroom,10,10
205,room_type_3,queen size,10,10
206,room_type_1,single bedroom,10,10
206,room_type_2,double bedroom,10,10
206,room_type_3,queen size,10,10
207,room_type_1,single bedroom,10,10
207,room_type_2,double bedroom,10,10
207,room_type_3,queen size,10,10
208,room_type_1,single bedroom,10,10
208,room_type_2,double bedroom,10,10
208,room_type_6,apartment,10,10
209,room_type_1,single bedroom,10,10
209,room_type_2,double bedroom,10,10
209,room_type_3,queen size,10,10
210,room_type_1,single bedroom,10,10
210,room_type_2,double bedroom,10,10
210,room_type_4,king size,10,10
211,room_type_1,single bedroom,10,10
211,room_type_2,double bedroom,10,10
211,room_type_5,suite,10,10
212,room_type_1,single bedroom,10,10
212,room_type_2,double bedroom,10,10
212,room_type_5,suite,10,10
213,room_type_1,single bedroom,10,10
213,room_type_2,double bedroom,10,10
213,room_type_5,suite,10,10
214,room_type_1,single bedroom,10,10
214,room_type_2,double bedroom,10,10
214,room_type_3,queen size,10,10
215,room_type_1,single bedroom,10,10
215,room_type_2,double bedroom,10,10
215,room_type_3,queen size,10,10
216,room_type_1,single bedroom,10,10
216,room_type_2,double bedroom,10,10
216,room_type_5,suite,10,10
217,room_type_1,single bedroom,10,10
217,room_type_2,double bedroom,10,10
217,room_type_6,apartment,10,10
218,room_type_1,single bedroom,10,10
218,room_type_2,double bedroom,10,10
218,room_type_6,apartment,10,10
219,room_type_1,single bedroom,10,10
219,room_type_2,double bedroom,10,10
219,room_type_6,apartment,10,10
220,room_type_1,single bedroom,10,10
220,room_type_2,double bedroom,10,10
220,room_type_3,queen size,10,10
221,room_type_1,single bedroom,10,10
221,room_type_2,double bedroom,10,10
221,room_type_5,suite,10,10
222,room_type_1,single bedroom,10,10
222,room_type_2,double bedroom,10,10
222,room_type_4,king size,10,10
223,room_type_1,single bedroom,10,10
223,room_type_2,double bedroom,10,10
223,room_type_4,king size,10,10
224,room_type_1,single bedroom,10,10
224,room_type_2,double bedroom,10,10
224,room_type_3,queen size,10,10
225,room_type_1,single bedroom,10,10
225,room_type_2,double bedroom,10,10
225,room_type_6,apartment,10,10
226,room_type_1,single bedroom,10,10
226,room_type_2,double bedroom,10,10
226,room_type_4,king size,10,10
227,room_type_1,single bedroom,10,10
227,room_type_2,double bedroom,10,10
227,room_type_5,suite,10,10
228,room_type_1,single bedroom,10,10
228,room_type_2,double bedroom,10,10
228,room_type_5,suite,10,10
229,room_type_1,single bedroom,10,10
229,room_type_2,double bedroom,10,10
229,room_type_5,suite,10,10
230,room_type_1,single bedroom,10,10
230,room_type_2,double bedroom,10,10
230,room_type_3,queen size,10,10
231,room_type_1,single bedroom,10,10
231,room_type_2,double bedroom,10,10
231,room_type_5,suite,10,10
232,room_type_1,single bedroom,10,10
232,room_type_2,double bedroom,10,10
232,room_type_5,suite,10,10
233,room_type_1,single bedroom,10,10
233,room_type_2,double bedroom,10,10
233,room_type_5,suite,10,10
234,room_type_1,single bedroom,10,10
234,room_type_2,double bedroom,10,10
234,room_type_5,suite,10,10
235,room_type_1,single bedroom,10,10
235,room_type_2,double bedroom,10,10
235,room_type_3,queen size,10,10
236,room_type_1,single bedroom,10,10
236,room_type_2,double bedroom,10,10
236,room_type_6,apartment,10,10
237,room_type_1,single bedroom,10,10
237,room_type_2,double bedroom,10,10
237,room_type_5,suite,10,10
238,room_type_1,single bedroom,10,10
238,room_type_2,double bedroom,10,10
238,room_type_3,queen size,10,10
239,room_type_1,single bedroom,10,10
239,room_type_2,double bedroom,10,10
239,room_type_5,suite,10,10
240,room_type_1,single bedroom,10,10
240,room_type_2,double bedroom,10,10
240,room_type_6,apartment,10,10
241,room_type_1,single bedroom,10,10
241,room_type_2,double bedroom,10,10
241,room_type_6,apartment,10,10
242,room_type_1,single bedroom,10,10
242,room_type_2,double bedroom,10,10
242,room_type_3,queen size,10,10
243,room_type_1,single bedroom,10,10
243,room_type_2,double bedroom,10,10
243,room_type_6,apartment,10,10
244,room_type_1,single bedroom,10,10
244,room_type_2,double bedroom,10,10
244,room_type_4,king size,10,10
245,room_type_1,single bedroom,10,10
245,room_type_2,double bedroom,10,10
245,room_type_3,queen size,10,10
246,room_type_1,single bedroom,10,10
246,room_type_2,double bedroom,10,10
246,room_type_6,apartment,10,10
247,room_type_1,single bedroom,10,10
247,room_type_2,double bedroom,10,10
247,room_type_6,apartment,10,10
248,room_type_1,single bedroom,10,10
248,room_type_2,double bedroom,10,10
248,room_type_3,queen size,10,10
249,room_type_1,single bedroom,10,10
249,room_type_2,double bedroom,10,10
249,room_type_4,king size,10,10
250,room_type_1,single bedroom,10,10
250,room_type_2,double bedroom,10,10
250,room_type_5,suite,10,10
251,room_type_1,single bedroom,10,10
251,room_type_2,double bedroom,10,10
251,room_type_4,king size,10,10
252,room_type_1,single bedroom,10,10
252,room_type_2,double bedroom,10,10
252,room_type_5,suite,10,10
253,room_type_1,single bedroom,10,10
253,room_type_2,double bedroom,10,10
253,room_type_5,suite,10,10
254,room_type_1,single bedroom,10,10
254,room_type_2,double bedroom,10,10
254,room_type_3,queen size,10,10
255,room_type_1,single bedroom,10,10
255,room_type_2,double bedroom,10,10
255,room_type_5,suite,10,10
256,room_type_1,single bedroom,10,10
256,room_type_2,double bedroom,10,10
256,room_type_3,queen size,10,10
257,room_type_1,single bedroom,10,10
257,room_type_2,double bedroom,10,10
257,room_type_3,queen size,10,10
258,room_type_1,single bedroom,10,10
258,room_type_2,double bedroom,10,10
258,room_type_3,queen size,10,10
259,room_type_1,single bedroom,10,10
259,room_type_2,double bedroom,10,10
259,room_type_5,suite,10,10
260,room_type_1,single bedroom,10,10
260,room_type_2,double bedroom,10,10
260,room_type_5,suite,10,10
261,room_type_1,single bedroom,10,10
261,room_type_2,double bedroom,10,10
261,room_type_3,queen size,10,10
262,room_type_1,single bedroom,10,10
262,room_type_2,double bedroom,10,10
262,room_type_4,king size,10,10
263,room_type_1,single bedroom,10,10
263,room_type_2,double bedroom,10,10
263,room_type_4,king size,10,10
264,room_type_1,single bedroom,10,10
264,room_type_2,double bedroom,10,10
264,room_type_5,suite,10,10
265,room_type_1,single bedroom,10,10
265,room_type_2,double bedroom,10,10
265,room_type_6,apartment,10,10
266,room_type_1,single bedroom,10,10
266,room_type_2,double bedroom,10,10
266,room_type_6,apartment,10,10
267,room_type_1,single bedroom,10,10
267,room_type_2,double bedroom,10,10
267,room_type_5,suite,10,10
268,room_type_1,single bedroom,10,10
268,room_type_2,double bedroom,10,10
268,room_type_4,king size,10,10
269,room_type_1,single bedroom,10,10
269,room_type_2,double bedroom,10,10
269,room_type_3,queen size,10,10
270,room_type_1,single bedroom,10,10
270,room_type_2,double bedroom,10,10
270,room_type_6,apartment,10,10
271,room_type_1,single bedroom,10,10
271,room_type_2,double bedroom,10,10
